Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Portable Digital Display Hanging Neck Mute Small Fan USB Charging","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604660901A.jpg","Chargers and Cables","","1. Material: ABS + electronic components 2. Product power: 5W 3. Rated voltage: 5V 4. Rated frequency: 50Hz 5. Wind speed: 5 speeds 6. Battery capacity:...","https://luxtronics.in/product/chargers-cables-portable-digital-display-hanging-neck-61270","","portable digital display hanging neck mute small fan usb charging, tbd06046609, chargers & cables, chargers-cables, luxtronics, online shopping"
"Foldable Digital Display USB Charging Fan Handheld Mute Hanging Neck","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604661901A.jpg","Chargers and Cables","","1. Material: ABS+PC+electronic components 2. Product power: 5W 3. Rated voltage: 5V 4. Rated frequency: 50Hz 5. Wind speed: 5 speeds 6. Battery capacity:...","https://luxtronics.in/product/chargers-cables-foldable-digital-display-usb-charging-61288","","foldable digital display usb charging fan handheld mute hanging neck, tbd06046619, chargers & cables, chargers-cables, luxtronics, online shopping"
"Outdoor Camping Tent Hanging Ambient Light Magnetic Spray","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604663901A.jpg","Smartphones","","Features: 1. The camping lamp is made of high-quality stainless steel and ABS. It contains multiple functions such as lighting, fan, spray, USB charging,...","https://luxtronics.in/product/smartphones-outdoor-camping-tent-hanging-ambient-61305","","outdoor camping tent hanging ambient light magnetic spray, tbd06046639, smartphones, luxtronics, online shopping"
"F11 USB Charging Cool Marquee Desktop Portable Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604597601A.jpg","Chargers and Cables","","Features: 1. Cool colorful marquee, 5 levels of light adjustment 2. Three levels of wind speed, you can adjust it freely 3. Removable grille makes... Explore","https://luxtronics.in/product/chargers-cables-f11-usb-charging-cool-marquee-61362","","f11 usb charging cool marquee desktop portable fan, tbd06045976, chargers & cables, chargers-cables, luxtronics, online shopping"
"USB Mini Desktop Spray Humidification Cooling Fan Home Air Conditioner","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603848301A.jpg","Smart Home","","1. Material: ABS, electronic components 2. Features: Humidification and air supply, cooling with ice 3. Battery: 2000mAh/2600mAh 4. Rated voltage: 5V 2A...","https://luxtronics.in/product/smart-home-usb-mini-desktop-spray-humidification-60798","","usb mini desktop spray humidification cooling fan home air conditioner, tbd06038483, smart home, smart-home, luxtronics, online shopping"
"Desktop USB Charging Bladeless Fan Portable Vertical LED Digital","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603855203.jpg","Chargers and Cables","","Features: 1. LED intelligent digital display, more convenient to use 2. Adopt engine supercharging turbine technology, wind power boost, wide coverage 3....","https://luxtronics.in/product/chargers-cables-desktop-usb-charging-bladeless-fan-60813","","desktop usb charging bladeless fan portable vertical led digital, tbd06038552, chargers & cables, chargers-cables, luxtronics, online shopping"
"Leafless Hanging Neck Fan Mini Handheld Fan USB Rechargeable Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603880601.jpg","Chargers and Cables","","1. Release 160 million negative ions, purify the air and make it fresh and natural, just like being in the forest (only negative ion function models) 2. 3...","https://luxtronics.in/product/chargers-cables-leafless-hanging-neck-fan-mini-60838","","leafless hanging neck fan mini handheld fan usb rechargeable fan, tbd06038806-1, chargers & cables, chargers-cables, luxtronics, online shopping"
"USB Spray Humidification Air Conditioning Fan Small Portable Desktop","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603886201.jpg","Chargers and Cables","","1. Material: ABS, electronic components 2. Applicable area: within 20 square meters 3. Wind speed gear: 3 gears 4. Operation mode: mechanical 5.... Explore","https://luxtronics.in/product/chargers-cables-usb-spray-humidification-air-conditioning-60856","","usb spray humidification air conditioning fan small portable desktop, tbd06038862, chargers & cables, chargers-cables, luxtronics, online shopping"
"USB Charging Humidification Air Conditioner Fan Nano Spray Desktop","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603886401A.jpg","Chargers and Cables","","1. Material: ABS, electronic components 2. Applicable area: within 20 square meters 3. Wind speed gear: 3 gears 4. Input: 5V 1A 5. Battery capacity:...","https://luxtronics.in/product/chargers-cables-usb-charging-humidification-air-conditioner-60875","","usb charging humidification air conditioner fan nano spray desktop, tbd06038864, chargers & cables, chargers-cables, luxtronics, online shopping"
"Desktop Air Circulation Upright Night Light Fan Household Rotatable","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603890601.jpg","Chargers and Cables","","Features: 1. Dual-core DC brushless motor, strong wind, quiet and stable 2. Spiral fan blades with large inclination angle, the cutting wind is slow and...","https://luxtronics.in/product/chargers-cables-desktop-air-circulation-upright-night-60894","","desktop air circulation upright night light fan household rotatable, tbd06038906, chargers & cables, chargers-cables, luxtronics, online shopping"
"DQ212 10000mAh Outdoor Portable Camping Fan Tent Hanging Vertical","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA005192601B.jpg","Chargers and Cables","","1. The aluminum alloy tripod is detachable and durable. 2. One machine is multi-purpose, it can be used as desktop fan, ceiling fan, and chandelier. 3....","https://luxtronics.in/product/chargers-cables-dq212-10000mah-outdoor-portable-camping-60949","","dq212 10000mah outdoor portable camping fan tent hanging vertical, eda0051926, chargers & cables, chargers-cables, luxtronics, online shopping"
"DQ213 4000mAh Outdoor Portable Camping Fan Tent Hanging Vertical Light","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA005192701A.jpg","Smart Home","","1. Detachable tripod, minimalist design. 2. It can be used as a desktop fan or a ceiling fan. 3. 4000 mAh lithium battery, super long battery life. 4. The...","https://luxtronics.in/product/smart-home-dq213-4000mah-outdoor-portable-camping-60962","","dq213 4000mah outdoor portable camping fan tent hanging vertical light, eda0051927, smart home, smart-home, luxtronics, online shopping"
"DQ216 10000mAh Outdoor Portable Liftable Swivel Head Camping Fan Tent","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA005193201C.jpg","Audio","","1. Aluminum alloy tripod quick release + adjustable height design, easy to use. 2. Multifunctional outdoor fan, remote control + moving head + colorful...","https://luxtronics.in/product/audio-dq216-10000mah-outdoor-portable-liftable-60974","","dq216 10000mah outdoor portable liftable swivel head camping fan tent, eda0051932-1, audio, luxtronics, online shopping"
"HILDA Portable Powerful Fan Outdoor Hair Dryer, With US Plug Adaptor","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604043401.jpg","Chargers and Cables","","1. Power supply type: rechargeable - lithium battery 2. Power supply voltage: 110V 3. Load current: - 6 inch: 0.3 / 0.4-12W - 8 inch: 0.4 / 0.5-15W 4....","https://luxtronics.in/product/chargers-cables-hilda-portable-powerful-fan-outdoor-61017","","hilda portable powerful fan outdoor hair dryer, with us plug adaptor, tbd06040434, chargers & cables, chargers-cables, luxtronics, online shopping"
"HILDA Portable Powerful Fan Outdoor Hair Dryer, With EU Plug Adaptor","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604042601.jpg","Chargers and Cables","","1. Power supply type: rechargeable - lithium battery 2. Power supply voltage: 220V 3. Load current: - 6 inch: 0.3 / 0.4-12W - 8 inch: 0.4 / 0.5-15W 4....","https://luxtronics.in/product/chargers-cables-hilda-portable-powerful-fan-outdoor-61041","","hilda portable powerful fan outdoor hair dryer, with eu plug adaptor, tbd06040426, chargers & cables, chargers-cables, luxtronics, online shopping"
"Household Cute Pet Fan USB Desktop Night Light Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603364301B.jpg","Chargers and Cables","","1. It adopts a three-leaf design, which can gather wind better, and remove stuffiness with one button, making it cool and quiet 2. The air supply can be...","https://luxtronics.in/product/chargers-cables-household-cute-pet-fan-usb-60635","","household cute pet fan usb desktop night light fan, tbd06033643, chargers & cables, chargers-cables, luxtronics, online shopping"
"S57 Outdoor Sports RGB Hanging Neck Fan Folding Portable Mini Bladeless","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603366301A.jpg","Chargers and Cables","","1. Hanging neck does not tangle hair, long battery life, RGB lighting effect, LED ambient light, digital display 2. Comfortable to wear, seven-color...","https://luxtronics.in/product/chargers-cables-s57-outdoor-sports-rgb-hanging-60649","","s57 outdoor sports rgb hanging neck fan folding portable mini bladeless, tbd06033663, chargers & cables, chargers-cables, luxtronics, online shopping"
"LF-002 Mini USB Rechargeable Light Desktop Fan Rotatable Night Light","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603545601A.jpg","Smart Home","","1. Material: ABS, electronic components 2. Input: 0.5V/1A 3. Power: 5W 4. Night light effect: white, warm color, warm white 5. High-quality ABS body,...","https://luxtronics.in/product/smart-home-lf-002-mini-usb-rechargeable-60667","","lf-002 mini usb rechargeable light desktop fan rotatable night light, tbd06035456, smart home, smart-home, luxtronics, online shopping"
"WT-TX6 Portable Foldable USB Charging Mosquito Repellent Handheld","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA001720901A.jpg","Chargers and Cables","","1. Material: ABS/PP/electronic components 2. Working current: 240-900mA 3. Input voltage: DC5V 4. Rated power: 4W 5. Input current: 0.8A 6. Use time: 1st...","https://luxtronics.in/product/chargers-cables-wt-tx6-portable-foldable-usb-60679","","wt-tx6 portable foldable usb charging mosquito repellent handheld, eda0017209, chargers & cables, chargers-cables, luxtronics, online shopping"
"F10 USB Hanging Neck Electric Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EDA002626401A.jpg","Smart Home","","1. It can supply air up and down 130 degrees 2. It can be hand-held or worn on the neck 3. Small size, easy to carry 4. Battery capacity: 2000mah... Explore","https://luxtronics.in/product/smart-home-f10-usb-hanging-neck-electric-60689","","f10 usb hanging neck electric fan, eda0026264, smart home, smart-home, luxtronics, online shopping"
"Solar Camping Lamp Fan Multifunctional LED Light Emergency Light","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD06038052.jpg","Smartphones","","1. 4 wind speed adjustments + 4 lighting adjustments 2. The angle of the LED light can be adjusted up and down, and the maximum size of the expanded...","https://luxtronics.in/product/smartphones-solar-camping-lamp-fan-multifunctional-60738","","solar camping lamp fan multifunctional led light emergency light, tbd06038052, smartphones, luxtronics, online shopping"
"Outdoor Waist-Mounted Lighting Fan Multifunctional Bracket Hanging Neck","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603807901E.jpg","Smartphones","","Features: 1. Three-speed wind speed design, you can adjust it freely 2. Axial flow air duct design, the wind is more powerful 3. No fan blade design,...","https://luxtronics.in/product/smartphones-outdoor-waist-mounted-lighting-fan-60753","","outdoor waist-mounted lighting fan multifunctional bracket hanging neck, tbd06038079-1, smartphones, luxtronics, online shopping"
"D601Y Portable USB Clip-on Oscillating Small Fan, D601Y","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/EF0076W.jpg","Chargers and Cables","","1. Product material: ABS+PP 2. Rated power: 4W 3. Input: 5V/1A 4. Fan blades: 5-inches blades x 3 (diameter 107mm) 5. Gear: 4 wind speeds 6. The LED...","https://luxtronics.in/product/chargers-cables-d601y-portable-usb-clip-on-60789","","d601y portable usb clip-on oscillating small fan, d601y, ef0076, chargers & cables, chargers-cables, luxtronics, online shopping"
"Turbine Water Cold Fan USB Desktop Humidity Spray Small Fan, Elk Pink","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602367401A.jpg","Chargers and Cables","","1. Voltage input: DC 5V/2A 2. Material: ABS, silicone 4. Charging port: Type-C 5. Rated power: 10W 6. Battery capacity: 3.7V 2000mAh 7. Water tank... Explore","https://luxtronics.in/product/chargers-cables-turbine-water-cold-fan-usb-60528","","turbine water cold fan usb desktop humidity spray small fan, elk pink, tbd06023674, chargers & cables, chargers-cables, luxtronics, online shopping"
"Children Hanging Neck Fan USB Handheld Light Glowing Mini Portable Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602372801A.jpg","Chargers and Cables","","1. Power input: DC 5V/2A 2. Rated power: 5W 3. Battery capacity: 1200mAh 4. Charging port: Type-C 5. Material: ABS, silicone 6. Packing list: fan x1,...","https://luxtronics.in/product/chargers-cables-children-hanging-neck-fan-usb-60540","","children hanging neck fan usb handheld light glowing mini portable fan, tbd06023728, chargers & cables, chargers-cables, luxtronics, online shopping"
"OM008 Desktop Foldable Spray Humidification Mini USB Water Cooling Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602524301A.jpg","Chargers and Cables","","1. Strong wind, can be refrigerated, warm night light, intelligent anti-dry burning 2. Foldable/multi-angle, delicate water mist, noiseless humidification...","https://luxtronics.in/product/chargers-cables-om008-desktop-foldable-spray-humidification-60554","","om008 desktop foldable spray humidification mini usb water cooling fan, tbd06025243, chargers & cables, chargers-cables, luxtronics, online shopping"
"Smart Remote Control Usb Charging Shaking Head Desktop Fan Stroller","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602678001B.jpg","Chargers and Cables","","1. Hidden high elastic clip-type base, stable and non-slip, freeing hands, the clip is vertical dual-use 2. Brushless low noise motor, as low as 20-30...","https://luxtronics.in/product/chargers-cables-smart-remote-control-usb-charging-60572","","smart remote control usb charging shaking head desktop fan stroller, tbd06026780, chargers & cables, chargers-cables, luxtronics, online shopping"
"6092 Cartoon Astronaut Fan With Lanyard Portable Mini USB Charging Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603357101A.jpg","Chargers and Cables","","1. Unique shape, lightweight and portable 2. With key chain, can be hung on the bag 3. Wind speed three adjustable 4. Rated voltage: 3.7V 5. Battery...","https://luxtronics.in/product/chargers-cables-6092-cartoon-astronaut-fan-lanyard-60595","","6092 cartoon astronaut fan with lanyard portable mini usb charging fan, tbd06033571, chargers & cables, chargers-cables, luxtronics, online shopping"
"F63 Semiconductor Cooling Hanging Neck Fan USB Silent Outdoor Mini Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603362401A.jpg","Chargers and Cables","","1. Up and down wind, cool cooling, quiet and silent, long battery life 2. Built-in 324 TEC refrigeration units, good cooling effect, cool in 1 second 3....","https://luxtronics.in/product/chargers-cables-f63-semiconductor-cooling-hanging-neck-60608","","f63 semiconductor cooling hanging neck fan usb silent outdoor mini fan, tbd06033624, chargers & cables, chargers-cables, luxtronics, online shopping"
"Children Spaceship Cartoon Watch Fan Projection USB Portable Bladeless","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603364101A.jpg","Wearables","","1. Cartoon shape, dynamic projection, strong blower 2. Turbine blades, three-speed adjustment, spaceship shape 3. Press the button to play the projection,...","https://luxtronics.in/product/wearables-children-spaceship-cartoon-watch-fan-60622","","children spaceship cartoon watch fan projection usb portable bladeless, tbd06033641-1, wearables, luxtronics, online shopping"
"DS208 Folding Multifunctional USB Flashlight Fan Portable Aromatherapy","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0564296901B.jpg","Smart Home","","1. Material: ABS+PP+ electronic components 2. Size: 40x36.6x120mm 3. Weight: 129g 4. USB output: 5V/1A 5. Features: folding design, aromatherapy mosquito...","https://luxtronics.in/product/smart-home-ds208-folding-multifunctional-usb-flashlight-60418","","ds208 folding multifunctional usb flashlight fan portable aromatherapy, tbd05642969, smart home, smart-home, luxtronics, online shopping"
"FY040 2 PCS Portable Outdoor USB Handheld Fan Desktop Office Mini Night","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0564822001B.jpg","Smart Home","","1. Material: ABS/electronic components 2. Size: 8.5x14cm 3. Features: long battery life, fast charging, imitating drone blades, natural wind speed, night...","https://luxtronics.in/product/smart-home-fy040-portable-outdoor-usb-handheld-60448","","fy040 2 pcs portable outdoor usb handheld fan desktop office mini night, tbd05648220, smart home, smart-home, luxtronics, online shopping"
"Handheld Desktop Outdoor Student Mute USB Mini Fan, White","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0571540301B.jpg","Chargers and Cables","","1. Size: about 80x86x88mm 2. Features: bass operation, compact and portable, comfortable handle 3. Noise: 36dB or less 4. Battery capacity: 900mAh 5....","https://luxtronics.in/product/chargers-cables-handheld-desktop-outdoor-student-mute-60463","","handheld desktop outdoor student mute usb mini fan, white, tbd05715403, chargers & cables, chargers-cables, luxtronics, online shopping"
"A04a USB Cute Pet Kettle Spray Desktop Fan, White Lucky Cat","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602058001A.jpg","Audio","","1. Large spray, aromatherapy to help sleep, three-speed wind speed, ambient night light, strong wind, multi-angle, rapid cooling, soft sound operation 2....","https://luxtronics.in/product/audio-a04a-usb-cute-pet-kettle-60473","","a04a usb cute pet kettle spray desktop fan, white lucky cat, tbd06020580, audio, luxtronics, online shopping"
"Star Pet Hanging Neck Fan USB Hand-Held Silent Luminous Fan, White","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602182401A.jpg","Smart Home","","1. Long battery life, stepless speed regulation, easy to carry 2. Three wind positions, the motor runs softly 3. Ambient light, warm light, power... Explore","https://luxtronics.in/product/smart-home-star-pet-hanging-neck-fan-60494","","star pet hanging neck fan usb hand-held silent luminous fan, white, tbd06021824, smart home, smart-home, luxtronics, online shopping"
"Mini USB Rechargeable Spray Fan Student Dormitory Office Desktop Mute","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0602228401A.jpg","Smartphones","","1. Material: ABS, PE 2. Battery capacity: 1000mAh 3. Voltage: DC 5V 4. Power: 2.8W 5. Spray volume: 20ml/h 6. Packing list: fan x1, 50ml water bottle x1,...","https://luxtronics.in/product/smartphones-mini-usb-rechargeable-spray-fan-60508","","mini usb rechargeable spray fan student dormitory office desktop mute, tbd06022284, smartphones, luxtronics, online shopping"
"X3 Outdoor Infinitely Variable Speed Portable Large Wind Charging","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603694901A.jpg","Chargers and Cables","","1. Battery capacity: 7800mAh 2. Input: 5V 0.2-1.2A 3. Output power: 1-6W 4. Charging port: Type-C/USB-C 5. Charging time: about 8-9h 6. Gear: infinitely...","https://luxtronics.in/product/chargers-cables-x3-outdoor-infinitely-variable-speed-60168","","x3 outdoor infinitely variable speed portable large wind charging, tbd06036949, chargers & cables, chargers-cables, luxtronics, online shopping"
"awei PC-1 Mini Stereo In-ear Headset","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/IP6D0728.jpg","Smartphones","","1. Smart business, easy to wear 2. In-ear headphones, high-definition call sound quality 3. 10mm moving coil unit, HIFI sound quality 4. 3.5mm alloy plug...","https://luxtronics.in/product/smartphones-awei-pc-mini-stereo-in-60177","","awei pc-1 mini stereo in-ear headset, ip6d0728, smartphones, luxtronics, online shopping"
"Retro Style Bluetooth Speaker, Built-in High-sensitivity FM Receiving","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/SYA000977.jpg","Audio","","1.Support A2DP,AVRCP, Handsfree profile. 2.Bluetooth Version:V5.0 3.Working Range:Up to 10metes 4.Dimension:160mm*110mm*75mm 5.Including packaging weight:...","https://luxtronics.in/product/audio-retro-style-bluetooth-speaker-built-60216","","retro style bluetooth speaker, built-in high-sensitivity fm receiving, sya000977, audio, luxtronics, online shopping"
"Outdoor Camping USB Charging Fan Tent Swing Head Fan With Tripod LED","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603701001A.jpg","Chargers and Cables","","1. Battery capacity: 7800mAh 2. Input voltage: 5V 3. Input current: 0.2-1.2A 4. Output power: 1-6W 5. LED power: 0.5-2W 6. Charging interface:... Explore","https://luxtronics.in/product/chargers-cables-outdoor-camping-usb-charging-fan-60227","","outdoor camping usb charging fan tent swing head fan with tripod led, tbd06037010, chargers & cables, chargers-cables, luxtronics, online shopping"
"3-in-1 Electric Fan Wall Mounted Desktop Quiet Brushless Turbine Mini","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603756401A.jpg","Chargers and Cables","","1. Multi-scenario applications: wall-mounted fans, desktop fans, ceiling fans, outdoor fans, etc., simple and convenient, no installation required. 2....","https://luxtronics.in/product/chargers-cables-in-electric-fan-wall-mounted-60240","","3-in-1 electric fan wall mounted desktop quiet brushless turbine mini, tbd06037564-1, chargers & cables, chargers-cables, luxtronics, online shopping"
"Dormitory Portable Animal Ear Desktop Electric Fan, Charging Version","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603768401.jpg","Chargers and Cables","","1. Power display, don't worry about going out 2. Three-speed wind adjustment, one button to open 3. Built-in noise reduction and shock absorption... Explore","https://luxtronics.in/product/chargers-cables-dormitory-portable-animal-ear-desktop-60258","","dormitory portable animal ear desktop electric fan, charging version, tbd06037684, chargers & cables, chargers-cables, luxtronics, online shopping"
"Outdoor Portable Waist High Wind Leafless Hanging Neck Fan With Power","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603792701A.jpg","Smartphones","","Features: 1. Ergonomic long hook design, comfortable to wear without fear of falling off 2. Emergency mobile power supply + fan combo 3. High-speed...","https://luxtronics.in/product/smartphones-outdoor-portable-waist-high-wind-60319","","outdoor portable waist high wind leafless hanging neck fan with power, tbd06037927, smartphones, luxtronics, online shopping"
"Outdoor Waist-mounted Lighting Fan with Power Function Multifunctional","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0603793601B.jpg","Smartphones","","Features: 1. Mecha design, simple and cool 2. Multifunctional bracket, can be placed on the desktop 3. Battery indicator light, Type-C charging port 4....","https://luxtronics.in/product/smartphones-outdoor-waist-mounted-lighting-fan-60334","","outdoor waist-mounted lighting fan with power function multifunctional, tbd06037936, smartphones, luxtronics, online shopping"
"Desktop Office Small Fan USB Charging Clip Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD048382401A.jpg","Chargers and Cables","","1. Unit weight: 500g 2. Dimensions: 136 × 120 × 250 mm 3. Material: ABS, electronic components 4. Specifications: working voltage 3.7v-4.2v, use power 6W,...","https://luxtronics.in/product/chargers-cables-desktop-office-small-fan-usb-60345","","desktop office small fan usb charging clip fan, tbd0483824, chargers & cables, chargers-cables, luxtronics, online shopping"
"USB Charging Fan Portable Mini Hanging Neck Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0134928201A.jpg","Chargers and Cables","","1. Unit weight: about 192 grams 2. Dimensions: 229 × 218 × 25mm 3. Material: plastic 4. Specifications: input 5V-1A, power 4w 5. Features: unique shape,...","https://luxtronics.in/product/chargers-cables-usb-charging-fan-portable-mini-60356","","usb charging fan portable mini hanging neck fan, tbd01349282, chargers & cables, chargers-cables, luxtronics, online shopping"
